# PyMovie format
#
# from file: diffraction_miss_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ None
# R @ None
#
# lightcurve model: diffraction
# event category: total miss
#
# UTC time: 2022-12-25 19:15:36.888592+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 1.15000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.00000 sec
# chord_length_km:  0.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
168,[00:00:5.7792],3679.93,3698.16,39.07
169,[00:00:5.8136],3652.33,3688.91,8.68
170,[00:00:5.8480],3539.92,3652.88,8.84
171,[00:00:5.8824],3632.71,3574.00,21.80
172,[00:00:5.9168],3447.44,3447.18,18.67
173,[00:00:5.9512],3288.03,3287.41,-9.95
174,[00:00:5.9856],3086.68,3120.84,-42.18
175,[00:00:6.0200],2963.07,2958.98,-22.17
176,[00:00:6.0544],2700.89,2804.60,-19.20
177,[00:00:6.0888],2786.45,2709.73,-0.37
178,[00:00:6.1232],2707.80,2765.61,31.69
179,[00:00:6.1576],3111.31,2957.48,11.70
180,[00:00:6.1920],3139.41,3131.55,-5.43
181,[00:00:6.2264],3163.97,3171.62,-16.23
182,[00:00:6.2608],3067.66,3076.16,17.84
183,[00:00:6.2952],2940.15,2961.93,11.21
184,[00:00:6.3296],2983.26,2955.62,19.73
185,[00:00:6.3640],3035.73,2981.34,39.95
186,[00:00:6.3984],3000.18,2997.92,27.25
187,[00:00:6.4328],3017.72,3033.39,-10.27
188,[00:00:6.4672],3022.39,3043.21,-10.43
189,[00:00:6.5016],2924.61,2975.36,-15.78
190,[00:00:6.5360],2990.61,2973.36,5.94
191,[00:00:6.5704],3035.38,3027.16,14.63
192,[00:00:6.6048],3056.21,3013.68,-17.06
193,[00:00:6.6392],3077.08,2990.62,-4.03
194,[00:00:6.6736],2981.14,2996.43,12.99
195,[00:00:6.7080],2999.76,3007.20,29.47
196,[00:00:6.7424],2981.34,3011.96,-54.32
197,[00:00:6.7768],3058.23,2984.99,-4.82
198,[00:00:6.8112],3085.23,3011.65,2.18
199,[00:00:6.8456],2939.72,3000.95,17.03
200,[00:00:6.8800],3032.93,2997.21,2.10
201,[00:00:6.9144],3024.39,3003.13,-7.44
202,[00:00:6.9488],3010.17,3004.15,4.82
203,[00:00:6.9832],2950.18,2995.90,10.75
204,[00:00:7.0176],3030.61,3005.17,-20.50
205,[00:00:7.0520],2972.70,2997.65,-0.39
206,[00:00:7.0864],2983.67,3003.85,15.64
207,[00:00:7.1208],2999.80,2999.99,-2.23
208,[00:00:7.1552],2951.71,2999.46,-23.95
209,[00:00:7.1896],3031.55,3003.09,-16.85
210,[00:00:7.2240],2930.27,2997.22,17.03
211,[00:00:7.2584],3023.33,3003.05,-17.89
212,[00:00:7.2928],3016.11,3000.08,24.56
213,[00:00:7.3272],2981.97,3000.89,13.10
214,[00:00:7.3616],3080.67,2998.53,-12.40
215,[00:00:7.3960],3068.04,3001.95,3.73
216,[00:00:7.4304],2996.52,3000.06,-1.95
217,[00:00:7.4648],3048.96,3000.98,26.56
218,[00:00:7.4992],2963.84,3000.54,12.42
219,[00:00:7.5336],3065.77,2999.70,-3.78
220,[00:00:7.5680],2973.71,3002.18,-28.51
221,[00:00:7.6024],2910.52,2999.35,-12.02
222,[00:00:7.6368],2937.00,2999.55,37.01
223,[00:00:7.6712],2958.60,3000.28,-1.42
224,[00:00:7.7056],3062.18,3000.57,-44.97
225,[00:00:7.7400],2996.00,3001.00,21.52
226,[00:00:7.7744],2982.20,3000.16,30.77
227,[00:00:7.8088],3076.25,3000.16,35.40
228,[00:00:7.8432],3031.02,3000.02,20.91
229,[00:00:7.8776],3004.94,2999.33,21.60
230,[00:00:7.9120],2880.30,3000.20,52.47
231,[00:00:7.9464],3033.83,3001.51,-12.91
232,[00:00:7.9808],3075.67,3000.73,-19.51
233,[00:00:8.0152],3037.55,2999.32,-16.39
234,[00:00:8.0496],2824.11,2999.28,3.50
235,[00:00:8.0840],3057.05,3000.17,30.58
236,[00:00:8.1184],2984.69,3000.81,-7.02
237,[00:00:8.1528],3092.80,3000.21,-3.16
238,[00:00:8.1872],2934.72,2999.72,3.95
239,[00:00:8.2216],2888.98,2999.84,-5.26
240,[00:00:8.2560],3026.98,3000.16,-30.70
241,[00:00:8.2904],3025.10,3000.07,12.97
242,[00:00:8.3248],3031.69,3001.21,-31.95
243,[00:00:8.3592],3006.02,3000.23,-12.96
244,[00:00:8.3936],3083.73,2999.71,6.16
245,[00:00:8.4280],3025.36,2999.45,33.65
246,[00:00:8.4624],2965.06,3000.64,42.64
247,[00:00:8.4968],2977.99,3000.14,-12.45
248,[00:00:8.5312],2972.41,3000.60,21.88
249,[00:00:8.5656],3002.38,2999.82,18.48
250,[00:00:8.6000],2972.02,2999.57,6.69
251,[00:00:8.6344],2904.03,3000.44,-4.02
252,[00:00:8.6688],3070.74,3001.16,16.53
253,[00:00:8.7032],2950.24,2999.45,21.26
254,[00:00:8.7376],3016.58,2999.59,-8.75
255,[00:00:8.7720],3011.07,3000.27,-38.20
256,[00:00:8.8064],3021.35,2999.95,13.34
257,[00:00:8.8408],3018.15,3000.62,31.05
258,[00:00:8.8752],2938.55,3000.31,-1.43
259,[00:00:8.9096],3088.97,3000.14,33.37
260,[00:00:8.9440],3026.34,2999.08,4.24
261,[00:00:8.9784],3034.71,2999.84,2.54
262,[00:00:9.0128],2966.42,3001.18,-4.56
263,[00:00:9.0472],2936.81,3000.01,-15.25
264,[00:00:9.0816],2890.73,3000.04,-6.80
265,[00:00:9.1160],2997.81,2999.93,-17.96
266,[00:00:9.1504],3024.99,2999.04,-10.35
267,[00:00:9.1848],3036.22,3000.08,-7.75
268,[00:00:9.2192],2939.11,3001.42,-14.47
269,[00:00:9.2536],3024.73,2999.30,15.62
270,[00:00:9.2880],2976.45,2999.87,15.88
271,[00:00:9.3224],2969.24,2999.66,-29.88
272,[00:00:9.3568],3051.15,3001.16,-11.70
273,[00:00:9.3912],2912.09,2999.72,-2.10
274,[00:00:9.4256],3000.17,2999.74,-18.03
275,[00:00:9.4600],3105.73,3000.55,-36.36
276,[00:00:9.4944],3001.89,3000.09,-12.83
277,[00:00:9.5288],3011.94,2999.62,6.92
278,[00:00:9.5632],2991.73,3000.15,-1.45
279,[00:00:9.5976],2899.40,3000.85,-15.62
280,[00:00:9.6320],3105.73,2999.18,14.29
281,[00:00:9.6664],3050.22,2999.97,-2.70
282,[00:00:9.7008],3003.72,3000.59,-6.64
283,[00:00:9.7352],3004.26,2999.89,32.22
284,[00:00:9.7696],3032.69,2999.83,28.06
285,[00:00:9.8040],2990.71,3000.35,16.33
286,[00:00:9.8384],3015.33,3000.33,-13.50
287,[00:00:9.8728],2976.34,2999.26,-12.98
288,[00:00:9.9072],3044.56,3000.35,12.09
289,[00:00:9.9416],3097.82,3000.13,-15.15
290,[00:00:9.9760],2976.74,2999.92,7.12
291,[00:00:10.0104],2983.87,2999.83,-21.67
292,[00:00:10.0448],2970.10,3000.52,-16.08
293,[00:00:10.0792],2975.85,2999.86,2.09
294,[00:00:10.1136],2982.24,2999.53,-24.74
295,[00:00:10.1480],3020.36,3000.35,7.02
296,[00:00:10.1824],3026.23,3000.37,31.18
297,[00:00:10.2168],3008.69,2999.52,-14.22
298,[00:00:10.2512],3004.43,2999.96,-18.79
299,[00:00:10.2856],3001.56,3000.59,6.14
300,[00:00:10.3200],2926.10,2999.85,41.76
301,[00:00:10.3544],2917.58,2999.61,4.56
302,[00:00:10.3888],2873.70,3000.34,12.00
303,[00:00:10.4232],2930.37,3000.25,-26.84
304,[00:00:10.4576],3058.91,2999.72,-28.74
305,[00:00:10.4920],2986.72,2999.94,-12.86
306,[00:00:10.5264],2922.41,3000.41,-29.20
307,[00:00:10.5608],2999.37,2999.73,-3.54
308,[00:00:10.5952],2949.82,3000.26,10.86
309,[00:00:10.6296],2984.11,3000.21,0.14
310,[00:00:10.6640],2953.61,2999.81,25.12
311,[00:00:10.6984],3106.55,2999.86,11.73
312,[00:00:10.7328],3016.99,3000.24,15.68
313,[00:00:10.7672],2953.37,3000.29,63.27
314,[00:00:10.8016],2960.71,3000.03,6.69
315,[00:00:10.8360],3019.25,3000.13,38.48
316,[00:00:10.8704],3069.74,3000.11,-17.72
317,[00:00:10.9048],3030.71,2999.96,26.68
318,[00:00:10.9392],3035.32,3000.04,-4.02
319,[00:00:10.9736],3120.35,3000.10,-24.94
320,[00:00:11.0080],3096.91,3000.16,-16.15
321,[00:00:11.0424],2974.65,2999.94,8.77
322,[00:00:11.0768],3036.25,3000.14,28.90
323,[00:00:11.1112],2885.51,3000.08,-23.83
324,[00:00:11.1456],2973.02,3000.04,-10.77
325,[00:00:11.1800],2973.76,2999.88,14.14
326,[00:00:11.2144],2955.41,3000.10,-15.97
327,[00:00:11.2488],2956.63,3000.16,-2.62
328,[00:00:11.2832],3029.15,2999.89,-23.77
329,[00:00:11.3176],2991.32,3000.19,43.38
330,[00:00:11.3520],3093.99,3000.02,10.22
331,[00:00:11.3864],2869.92,3000.03,25.02
332,[00:00:11.4208],2969.97,3000.04,-18.37
