# PyMovie format
#
# from file: diffraction_with_central_spot_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:5.5247]
# R @ [00:00:5.9247]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:25.789541+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.40000 sec
# chord_length_km:  2.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
189,[00:00:6.5016],2937.67,2981.78,-17.38
190,[00:00:6.5360],3044.49,3013.08,-53.07
191,[00:00:6.5704],3031.06,3047.20,34.05
192,[00:00:6.6048],2957.40,2996.15,-20.00
193,[00:00:6.6392],2972.32,2965.25,-11.37
194,[00:00:6.6736],2999.53,3028.50,-9.68
195,[00:00:6.7080],3067.82,3008.81,-19.63
196,[00:00:6.7424],3022.90,2992.78,10.48
197,[00:00:6.7768],2952.25,2994.87,-3.86
198,[00:00:6.8112],3015.84,3019.27,1.34
199,[00:00:6.8456],3049.21,2992.09,-22.72
200,[00:00:6.8800],3018.83,2998.98,-22.35
201,[00:00:6.9144],3008.87,3009.49,-10.54
202,[00:00:6.9488],2986.99,2995.84,-37.55
203,[00:00:6.9832],3011.68,3001.81,0.45
204,[00:00:7.0176],2985.09,3004.63,16.71
205,[00:00:7.0520],2972.06,2996.05,-10.19
206,[00:00:7.0864],3013.81,3006.70,5.96
207,[00:00:7.1208],2921.30,2995.18,9.51
208,[00:00:7.1552],2965.40,3005.53,10.93
209,[00:00:7.1896],2924.46,2998.68,22.39
210,[00:00:7.2240],2949.86,3000.97,30.87
211,[00:00:7.2584],3041.62,3002.25,-17.85
212,[00:00:7.2928],3064.48,2999.48,30.15
213,[00:00:7.3272],3005.56,2999.52,10.60
214,[00:00:7.3616],3003.80,3001.68,24.50
215,[00:00:7.3960],3071.09,3001.12,-17.64
216,[00:00:7.4304],2978.15,2999.95,-0.04
217,[00:00:7.4648],3012.46,3001.21,49.09
218,[00:00:7.4992],2937.44,3001.67,15.85
219,[00:00:7.5336],2985.31,2997.32,18.25
220,[00:00:7.5680],3028.87,3001.60,4.29
221,[00:00:7.6024],3068.06,3000.19,12.89
222,[00:00:7.6368],3014.47,3000.09,8.92
223,[00:00:7.6712],2992.18,3001.52,5.35
224,[00:00:7.7056],3040.58,3000.45,-16.49
225,[00:00:7.7400],2974.16,3000.41,11.83
226,[00:00:7.7744],2889.48,2999.36,35.58
227,[00:00:7.8088],3104.58,2999.03,-20.25
228,[00:00:7.8432],3025.46,3001.03,3.57
229,[00:00:7.8776],3009.99,3001.28,-12.13
230,[00:00:7.9120],2967.65,2999.39,-13.83
231,[00:00:7.9464],3016.36,2999.01,14.03
232,[00:00:7.9808],3021.74,3001.05,-23.23
233,[00:00:8.0152],3124.51,3001.91,-2.69
234,[00:00:8.0496],2977.11,3000.15,-4.98
235,[00:00:8.0840],3032.92,2999.24,5.20
236,[00:00:8.1184],3001.00,2999.71,-27.48
237,[00:00:8.1528],2998.47,3000.59,3.78
238,[00:00:8.1872],2973.37,3000.54,-46.36
239,[00:00:8.2216],2963.41,3000.20,13.25
240,[00:00:8.2560],2995.26,3000.42,-15.91
241,[00:00:8.2904],3041.19,2999.98,13.61
242,[00:00:8.3248],3037.98,3000.06,13.68
