# PyMovie format
#
# from file: edge_on_disk_standard_penumbral_D55_R35_shotnoise_2.0_readnoise_20.0.csv
#
# shot noise level: 2
# read noise sigma: 20
# 
# D @ [00:00:3.2208]
# R @ [00:00:23.2208]
#
# lightcurve model: edge-on-disk
# event category: normal
#
# UTC time: 2022-12-25 19:15:10.291443+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  150.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  5.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 500.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 66.82978 ADU
#
# D_limb_angle_degrees: 55.0 degrees
# R_limb_angle_degrees: 35.0 degrees
#
# chord_length_sec: 20.00000 sec
# chord_length_km:  100.00000 km
#
# star_diameter_mas: 2.75755 mas
#
# fresnel_length: 0.45000 km
#
# ===== Alternate units =====
#
# star_diameter_km:  10.00000 km
# star_radius_km:    5.00000 km
# star_rho:          22.22 fresnel lengths
#
# asteroid_diameter_mas: 41.36330 mas
# asteroid_rho:          166.67 fresnel lengths
#
# asteroid_distance_arcsec:  1.75764 arcsec
#
# asteroid_speed_sky_motion: 1.37878 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
208,[00:00:8.3200],63.24,66.83,-2.45
209,[00:00:8.3600],100.00,66.83,0.87
210,[00:00:8.4000],73.64,66.83,-13.22
211,[00:00:8.4400],104.08,66.83,11.43
212,[00:00:8.4800],66.68,66.83,20.76
213,[00:00:8.5200],88.73,66.83,-36.21
214,[00:00:8.5600],53.15,66.83,24.87
215,[00:00:8.6000],67.59,66.83,13.13
216,[00:00:8.6400],36.98,66.83,-12.87
217,[00:00:8.6800],119.41,66.83,-2.30
218,[00:00:8.7200],83.32,66.83,2.71
219,[00:00:8.7600],63.17,66.83,-31.09
220,[00:00:8.8000],86.05,66.83,-26.25
221,[00:00:8.8400],98.66,66.83,13.51
222,[00:00:8.8800],110.53,66.83,-12.55
223,[00:00:8.9200],28.49,66.83,25.71
224,[00:00:8.9600],79.36,66.83,-23.52
225,[00:00:9.0000],53.40,66.83,-12.46
226,[00:00:9.0400],90.28,66.83,15.29
227,[00:00:9.0800],87.65,66.83,-8.32
228,[00:00:9.1200],73.76,66.83,24.01
229,[00:00:9.1600],65.24,66.83,-11.55
230,[00:00:9.2000],100.59,66.83,-5.22
231,[00:00:9.2400],49.11,66.83,8.89
232,[00:00:9.2800],73.37,66.83,-16.20
233,[00:00:9.3200],50.82,66.83,29.42
234,[00:00:9.3600],53.04,66.83,31.14
235,[00:00:9.4000],22.82,66.83,15.10
236,[00:00:9.4400],57.26,66.83,-8.36
237,[00:00:9.4800],33.64,66.83,-28.52
238,[00:00:9.5200],54.20,66.83,-44.08
239,[00:00:9.5600],85.78,66.83,-10.69
240,[00:00:9.6000],73.76,66.83,43.34
241,[00:00:9.6400],69.91,66.83,-11.03
242,[00:00:9.6800],71.71,66.83,1.68
243,[00:00:9.7200],40.80,66.83,-2.88
244,[00:00:9.7600],74.41,66.83,-12.91
245,[00:00:9.8000],99.34,66.83,25.51
246,[00:00:9.8400],116.19,66.83,-18.29
247,[00:00:9.8800],101.57,66.83,-3.74
248,[00:00:9.9200],123.30,66.83,-30.01
249,[00:00:9.9600],74.74,66.83,1.46
250,[00:00:10.0000],79.53,66.83,11.74
251,[00:00:10.0400],72.32,66.83,-9.69
252,[00:00:10.0800],69.51,66.83,-28.71
253,[00:00:10.1200],68.12,66.83,-34.63
254,[00:00:10.1600],40.18,66.83,3.04
255,[00:00:10.2000],86.38,66.83,-2.87
256,[00:00:10.2400],82.32,66.83,40.21
257,[00:00:10.2800],32.69,66.83,-28.76
258,[00:00:10.3200],50.73,66.83,13.38
259,[00:00:10.3600],47.75,66.83,20.59
260,[00:00:10.4000],43.47,66.83,6.69
261,[00:00:10.4400],33.32,66.83,-12.60
262,[00:00:10.4800],51.22,66.83,8.44
263,[00:00:10.5200],18.70,66.83,-28.95
264,[00:00:10.5600],37.86,66.83,18.82
265,[00:00:10.6000],97.46,66.83,10.34
266,[00:00:10.6400],68.97,66.83,37.12
267,[00:00:10.6800],51.11,66.83,38.05
268,[00:00:10.7200],48.97,66.83,-12.31
269,[00:00:10.7600],58.46,66.83,6.14
270,[00:00:10.8000],35.18,66.83,-16.47
271,[00:00:10.8400],68.60,66.83,28.41
272,[00:00:10.8800],66.45,66.83,8.76
273,[00:00:10.9200],68.92,66.83,-7.56
274,[00:00:10.9600],51.48,66.83,-2.80
275,[00:00:11.0000],84.51,66.83,1.70
276,[00:00:11.0400],57.02,66.83,1.81
277,[00:00:11.0800],80.39,66.83,-31.71
278,[00:00:11.1200],109.37,66.83,-10.85
279,[00:00:11.1600],45.36,66.83,-28.69
280,[00:00:11.2000],120.85,66.83,2.69
281,[00:00:11.2400],68.23,66.83,5.51
282,[00:00:11.2800],28.93,66.83,17.99
283,[00:00:11.3200],52.67,66.83,-12.81
284,[00:00:11.3600],95.78,66.83,-4.89
285,[00:00:11.4000],49.14,66.83,-25.20
286,[00:00:11.4400],56.15,66.83,14.56
287,[00:00:11.4800],107.72,66.83,-10.45
288,[00:00:11.5200],110.78,66.83,-47.04
289,[00:00:11.5600],75.81,66.83,23.23
290,[00:00:11.6000],57.07,66.83,-25.16
291,[00:00:11.6400],95.07,66.83,-16.44
292,[00:00:11.6800],41.86,66.83,11.59
293,[00:00:11.7200],85.93,66.83,45.85
294,[00:00:11.7600],69.31,66.83,18.37
295,[00:00:11.8000],84.11,66.83,24.47
296,[00:00:11.8400],61.76,66.83,21.38
297,[00:00:11.8800],49.48,66.83,-9.12
